
RelativePath                                Exists SHA256                                                          
------------                                ------ ------                                                          
app.py                                        True 7391E74538DA6E56A06227347CA3B587122AC170D97346F593F45E189FAEE718
prompts.py                                    True 75F5D39E46004D0A83123D9D7B11291B04BBE287A035E6E67382BCC4E22F9E5A
README.md                                     True 900CEEA80D73152D195B724506922C328FF743EE3EB9F6EAF0AF32DFE4F8B492
requirements.txt                              True 9402B54EA2DC231671EB9E2EE49F98256DDB32A41C7ADE73D56A39BE6334965D
AGENTS.md                                     True D5618414CCF66BFA4731F8BDDE00C707CB0F8485A059D97ED1CF53B1744037E7
CLAUDE.md                                     True 6272AFDB2CD365FEF83558FEC69A795000C915C31F95962D60AB1AACE384FC3D
docs\VCReady_PRD_v0.1.md                      True 16103E0300D06F392D5C4BB85D07A7A5B28AB280B5C5DC72C9A277183FD821FD
docs\VCReady_PRD_v0.2.md                      True C1E08D69D4C000F6F193BD3A128F519BFC627890835CD4EF572306BA982DCB97
docs\VCReady_v0.3_Guided_Flow_Spec.md         True 78DD164A4EE20E7087816DEC01A40513F97C5E42B656DA9827C852C2D6056F0E
tasks\current_commit.md                       True BD21499793B192C6E79C11D9EDE69803A67D29E100273682FC5B3CE43414D93F
tasks\progress_log.md                         True 1C326A19A4F564584D1052F9316E0FA2BC99122EAA183314DB2AA3885CCA40E5
.agents\skills\vcready-commit-plan\SKILL.md   True 48C386934E3D982AB3DBB550A77C7864B260F00993C82EE2AED3BC6C357D871B
.agents\skills\vcready-ui-style\SKILL.md      True 53B222454B1242F70E52F032A94C1C65FA0C4B1CF28F8A1024E0C7AB49FC6628



